Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;;;;;;
Negative Control;Green/Red;0;0.386;0.385;0.641;0.638;0.465;1.116;0;1;0.961;0.469;1;0.47;0.37;0.29;0.391;1;2;1.4281;0.00065;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.562;0.562;0.553;0.553;0.699;0.125;3.913;0.978;1;0.947;0.947;1;0.418;0.305;0.58;0;1;0.19047;0.00022;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.789;0.789;0.646;0.646;0.849;0.676;1.066;0.975;1;0.936;0.936;1;0.451;0.508;0.791;0;2;0.19047;0.0006;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.649;0.648;0.783;0.781;0.742;3.309;0.166;0.999;1;0.899;0.942;0.952;0.44;0.349;0.653;1;2;0.00022;0.0006;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.456;0.14;0.831;0.35;0.564;0.121;2.624;0.967;0.922;0.767;0.881;0.856;0.415;0.24;0.479;0;1;22.939;3.2007;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.795;0.795;0.669;0.669;0.855;0.706;1.037;1;0.997;0.672;1;0.672;0.453;0.509;0.796;0;2;8.8876;0.00055;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.644;0.644;0.814;0.814;0.73;3.058;0.174;1;0.996;0.435;1;0.435;0.452;0.339;0.648;1;2;1.1022;0.00055;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.226;0.226;0.525;0.525;0.332;0.211;0.522;0.999;1;0.967;0.967;1;0.276;0.208;0.228;0;1;0.00114;0.00027;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.726;0.723;0.581;0.56;0.787;1.096;0.565;0.999;0.974;0.573;0.997;0.574;0.389;0.725;0.759;0;2;7.9822;0.00074;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.264;0.261;0.646;0.631;0.33;0.61;0.178;1;0.965;0.519;1;0.519;0.354;0.204;0.266;1;2;1.0873;0.00074;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.234;0.234;0.533;0.533;0.341;0.224;0.519;1;1;1;1;1;0.283;0.217;0.235;0;1;0.00113;0.00028;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.734;0.734;0.65;0.65;0.793;1.014;0.62;1;0.979;0.552;1;0.552;0.394;0.733;0.766;0;2;7.1062;0.00068;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.284;0.284;0.596;0.596;0.353;0.591;0.211;1;0.975;0.54;1;0.54;0.357;0.22;0.286;1;2;0.74065;0.00068;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Prop-Tyr;Blue/Green;0;0.238;0.238;0.656;0.656;0.285;0.19;0;1;1;0.421;1;0;0.449;0.141;0.24;0;1;3.4401;0.00013;0;0;-;-;No Fluorophore;Prop-Tyr;;;;;;
